GeneID	C-1	C-2	C-3	H-1	H-2	H-3	L-1	L-2	L-3
LOC128012049	0.291	0.239	0.244	0.027	0.000	0.046	0.023	0.050	0.109
LOC128010919	0.081	0.083	0.085	0.127	0.102	0.019	0.000	0.000	0.046
si:ch211-132g1.1	0.795	0.784	0.816	0.231	0.221	0.258	0.200	0.148	0.394
LOC128012821	4.798	5.012	4.927	7.977	9.981	11.043	2.495	2.712	2.361
atp1a1a.4	24.430	24.187	23.494	18.453	23.156	25.609	6.472	6.715	5.408
LOC128013048	0.129	0.080	0.081	0.024	0.296	0.327	0.000	0.000	0.085
LOC128013169	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000
urp2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128013330	0.662	0.616	0.571	0.159	0.190	0.240	0.038	0.060	0.139
LOC128013634	0.000	0.000	0.000	0.612	0.497	0.558	0.025	0.027	0.000
LOC128013710	11.322	11.037	11.091	6.360	5.254	4.778	7.064	7.464	7.372
LOC128014099	0.042	0.028	0.029	0.000	0.016	0.011	0.000	0.000	0.000
LOC128014230	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128014841	1.950	1.950	1.936	2.155	1.596	1.957	1.058	0.698	1.566
gart	3.626	3.723	3.580	1.730	1.956	2.688	4.207	4.325	4.439
n6amt1	3.328	3.339	3.315	2.119	1.702	2.156	5.139	5.960	5.295
LOC128015104	0.126	0.094	0.072	0.000	0.000	0.000	0.028	0.000	0.000
LOC128015075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
dnajb14	3.119	3.202	3.126	3.691	3.091	3.413	4.203	4.018	5.342
LOC128015180	44.219	44.991	44.671	61.267	61.516	70.179	71.943	72.765	124.194
LOC128015112	2.171	2.087	2.114	2.206	2.631	3.038	1.516	1.299	2.883
LOC128014958	35.478	34.312	33.886	27.770	38.565	42.655	6.850	7.149	5.803
LOC128014942	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029
LOC128015060	10.338	10.367	10.094	9.294	7.326	7.298	4.891	4.143	6.225
LOC128017616	0.381	0.352	0.359	0.035	0.195	0.075	0.000	0.066	0.000
LOC128015018	3.690	4.043	3.688	4.075	3.460	4.121	7.058	7.606	10.070
LOC128014982	0.381	0.271	0.307	1.018	0.786	1.192	0.118	0.051	0.000
LOC128014926	0.757	0.816	0.763	0.409	0.267	0.219	0.249	0.239	0.212
LOC128014950	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128015147	0.000	0.000	0.000	0.000	0.208	0.182	0.000	0.000	0.000
LOC128015007	0.111	0.113	0.096	0.077	0.029	0.109	0.185	0.254	0.449
LOC128014933	0.187	0.236	0.196	0.293	0.317	0.397	0.243	0.099	0.067
LOC128015158	0.457	0.420	0.378	0.646	0.853	0.627	0.348	0.540	0.587
LOC128015169	16.897	17.544	16.585	10.923	11.360	9.144	5.881	5.934	5.890
LOC128015208	1.085	1.078	1.210	7.026	9.871	13.116	0.225	0.241	0.426
LOC128015095	0.817	0.807	0.726	0.356	0.291	0.450	1.573	1.129	0.433
f7	0.170	0.166	0.169	0.181	0.074	0.047	0.157	0.088	0.096
f7i	119.426	115.620	115.509	62.271	55.555	45.112	96.541	97.006	61.094
f10	184.004	178.699	184.171	136.696	121.063	105.604	352.243	349.113	266.863
prozb	392.893	381.268	380.258	242.143	184.821	130.982	244.561	243.589	227.083
LOC128018414	0.080	0.049	0.050	0.000	0.038	0.013	0.000	0.000	0.045
pcid2	13.066	12.500	12.498	9.232	9.192	9.908	6.973	6.026	10.369
cul4a	8.679	8.637	8.582	4.855	5.128	4.236	6.622	6.081	6.611
lamp1a	3.930	3.674	3.847	1.586	1.245	0.863	8.822	9.278	3.948
grtp1a	1.341	1.377	1.325	1.956	2.395	2.711	1.305	0.863	2.778
adprhl1	0.414	0.372	0.403	0.376	0.385	0.309	0.440	0.517	0.610
dcun1d2b	1.488	1.731	1.531	2.230	2.003	1.725	2.910	3.190	3.209
tmco3	1.185	1.108	1.088	1.109	0.766	0.841	0.952	1.332	0.924
tfdp1b	2.707	2.676	2.641	2.567	2.933	3.271	1.264	1.138	1.744
grk1a	0.043	0.045	0.046	0.020	0.077	0.112	0.035	0.047	0.000
cenpe	0.141	0.136	0.148	0.672	0.589	0.769	0.014	0.037	0.000
LOC127980093	0.024	0.073	0.025	0.153	0.056	0.149	0.152	0.163	0.066
gas6	61.380	61.202	60.077	19.551	15.641	9.927	26.943	26.324	12.453
pros1	52.692	51.595	51.249	65.201	48.834	32.009	49.570	48.020	32.436
rasa3	1.250	1.208	1.198	0.388	0.505	0.688	0.727	0.823	0.601
tpp2	1.175	1.193	1.158	1.686	1.682	1.723	3.426	3.771	2.751
LOC128018427	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
mettl21e	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ercc5	1.592	1.614	1.657	0.951	0.953	0.652	0.842	1.008	2.049
blzf1	2.554	2.417	2.391	4.765	5.295	4.807	5.262	5.314	5.964
trmt10c	3.292	3.356	3.279	1.320	1.342	1.562	4.143	4.763	3.085
txnl4b	1.702	1.651	1.486	1.837	2.086	2.201	2.165	2.649	4.697
si:ch73-41e3.7	0.264	0.475	0.277	2.688	5.151	5.549	0.265	0.199	0.650
LOC127986325	0.092	0.094	0.096	0.034	0.145	0.189	0.000	0.000	0.172
mrpl39	3.753	3.792	4.023	4.838	4.888	5.058	9.805	8.023	3.627
jam2a	0.846	0.777	0.746	5.273	7.298	8.380	0.000	0.000	0.167
atp5pf	39.304	38.329	38.528	18.303	26.248	22.959	91.184	83.937	115.971
appa	3.321	3.262	3.293	1.252	1.648	2.099	0.951	1.319	0.625
cyyr1	0.259	0.266	0.272	0.080	0.051	0.051	0.052	0.037	0.000
LOC127998113	3.884	3.716	3.791	0.342	0.312	0.382	0.382	0.615	0.116
LOC127999682	0.575	0.554	0.528	0.060	0.042	0.009	0.114	0.158	0.261
LOC128003797	1.583	1.443	1.397	0.601	0.399	0.533	2.022	1.871	1.775
ednrba	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128019129	16.056	17.562	17.441	14.837	11.317	8.206	14.269	13.601	25.325
LOC128016720	0.164	0.169	0.172	0.000	0.014	0.000	0.029	0.031	0.000
LOC128016652	0.000	0.000	0.000	0.000	0.000	0.000	0.045	0.036	0.013
LOC128016387	9.620	9.410	9.490	5.026	4.395	3.540	11.674	12.124	11.698
LOC128015742	8.031	7.846	7.863	3.296	2.667	2.404	3.061	3.193	3.643
LOC128015278	0.239	0.222	0.219	0.241	0.241	0.229	0.545	0.411	0.210
LOC128015292	0.000	0.000	0.000	0.000	0.000	0.103	0.000	0.000	0.000
LOC128015299	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128015340	1.381	1.306	1.484	0.823	0.758	1.233	1.357	1.284	1.345
LOC128015315	184.914	178.801	177.795	110.786	82.050	62.765	170.789	174.324	108.821
zgc:64002	27.661	27.377	28.709	24.289	17.300	14.597	23.525	22.152	36.954
pwp2h	2.925	3.003	2.891	3.162	3.387	3.577	10.560	10.287	10.676
LOC128015374	46.220	44.885	44.758	15.208	12.352	10.285	46.580	45.313	40.027
LOC128015363	0.364	0.393	0.382	0.467	0.294	0.479	0.293	0.314	0.096
LOC128015386	68.674	67.211	66.587	71.295	56.662	49.545	43.484	44.756	87.979
LOC128015399	0.071	0.147	0.050	0.308	0.056	0.263	0.153	0.185	0.201
LOC128015413	0.899	0.835	0.852	0.752	0.320	0.625	0.275	0.332	0.261
LOC128015428	6.317	6.552	7.051	6.994	7.691	5.638	4.948	6.381	10.584
LOC128015435	0.096	0.050	0.050	0.045	0.038	0.000	0.019	0.042	0.045
LOC128015441	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128015462	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128015464	0.947	0.842	0.727	0.146	0.000	0.174	0.101	0.054	0.237
LOC128015489	9.456	8.953	9.114	9.584	8.769	7.812	8.455	8.121	8.122
LOC128015525	10.395	10.187	10.253	7.515	5.876	4.826	4.434	4.044	4.660
LOC128015549	3.436	3.375	3.375	2.250	2.397	2.174	4.870	3.934	3.622
LOC128015603	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128015574	0.318	0.266	0.284	0.611	0.567	0.744	0.360	0.498	0.243
